Sample,Cd,Classification
AJA1,279.79200000000003,Very high contamination
AJA2,185.026,Very high contamination
AJA3,97.648,Very high contamination
AJA4,32.431,Very high contamination
AJA5,41.507,Very high contamination
AJA6,39.274,Very high contamination
AJA7,29.211,Considerable contamination
AJA8,38.497,Very high contamination
AJA9,29.489,Considerable contamination
AJA10,34.949,Very high contamination
AJA11,27.211,Considerable contamination
AJA12,30.756999999999998,Considerable contamination
AJA13,25.019000000000002,Considerable contamination
AJA14,30.553,Considerable contamination
AJA15,28.644000000000005,Considerable contamination
AJA16,28.565999999999995,Considerable contamination
AJA17,30.166999999999998,Considerable contamination
AJA18,23.141,Considerable contamination
AJA19,29.188,Considerable contamination
AJA20,27.559000000000005,Considerable contamination
AJA21,102.426,Very high contamination
AJA22,103.278,Very high contamination
AJA23,91.672,Very high contamination
AJA24,85.489,Very high contamination
AJA25,77.78,Very high contamination
