Sample,HEI,Classification,Interpretation
AJA1,58.313,High Pollution,Serious heavy metal pollution.
AJA2,42.1,High Pollution,Serious heavy metal pollution.
AJA3,21.82,High Pollution,Serious heavy metal pollution.
AJA4,8.776,Low Pollution,Water quality is acceptable.
AJA5,10.848,Medium Pollution,Moderate heavy metal contamination.
AJA6,11.027,Medium Pollution,Moderate heavy metal contamination.
AJA7,8.24,Low Pollution,Water quality is acceptable.
AJA8,10.701,Medium Pollution,Moderate heavy metal contamination.
AJA9,8.612,Low Pollution,Water quality is acceptable.
AJA10,10.188,Medium Pollution,Moderate heavy metal contamination.
AJA11,8.027,Low Pollution,Water quality is acceptable.
AJA12,9.823,Low Pollution,Water quality is acceptable.
AJA13,6.965,Low Pollution,Water quality is acceptable.
AJA14,10.143,Medium Pollution,Moderate heavy metal contamination.
AJA15,9.121,Low Pollution,Water quality is acceptable.
AJA16,9.099,Low Pollution,Water quality is acceptable.
AJA17,9.683,Low Pollution,Water quality is acceptable.
AJA18,6.337,Low Pollution,Water quality is acceptable.
AJA19,10.471,Medium Pollution,Moderate heavy metal contamination.
AJA20,9.234,Low Pollution,Water quality is acceptable.
AJA21,22.967,High Pollution,Serious heavy metal pollution.
AJA22,21.915,High Pollution,Serious heavy metal pollution.
AJA23,21.35,High Pollution,Serious heavy metal pollution.
AJA24,18.637,Medium Pollution,Moderate heavy metal contamination.
AJA25,18.8,Medium Pollution,Moderate heavy metal contamination.
