Sample,MH,Class,Interpretation
AJA1,26.56,Suitable,Magnesium hazard is low
AJA2,29.54,Suitable,Magnesium hazard is low
AJA3,29.51,Suitable,Magnesium hazard is low
AJA4,25.39,Suitable,Magnesium hazard is low
AJA5,24.8,Suitable,Magnesium hazard is low
AJA6,24.43,Suitable,Magnesium hazard is low
AJA7,26.27,Suitable,Magnesium hazard is low
AJA8,27.76,Suitable,Magnesium hazard is low
AJA9,26.97,Suitable,Magnesium hazard is low
AJA10,27.47,Suitable,Magnesium hazard is low
AJA11,26.27,Suitable,Magnesium hazard is low
AJA12,29.34,Suitable,Magnesium hazard is low
AJA13,25.83,Suitable,Magnesium hazard is low
AJA14,28.45,Suitable,Magnesium hazard is low
AJA15,26.25,Suitable,Magnesium hazard is low
AJA16,26.68,Suitable,Magnesium hazard is low
AJA17,26.34,Suitable,Magnesium hazard is low
AJA18,26.22,Suitable,Magnesium hazard is low
AJA19,26.7,Suitable,Magnesium hazard is low
AJA20,28.39,Suitable,Magnesium hazard is low
AJA21,26.12,Suitable,Magnesium hazard is low
AJA22,26.07,Suitable,Magnesium hazard is low
AJA23,26.71,Suitable,Magnesium hazard is low
AJA24,26.19,Suitable,Magnesium hazard is low
AJA25,25.61,Suitable,Magnesium hazard is low
