Sample,PLI,Classification
AJA1,16.008925991805597,Extremely Polluted
AJA2,11.209830810195836,Extremely Polluted
AJA3,7.449814964219988,Extremely Polluted
AJA4,2.5236611770586848,Moderately Polluted
AJA5,3.595668847938943,Highly Polluted
AJA6,3.4460611331496,Highly Polluted
AJA7,2.3675274828922785,Moderately Polluted
AJA8,3.3243761235965765,Highly Polluted
AJA9,2.3783857776185515,Moderately Polluted
AJA10,3.021858250604614,Highly Polluted
AJA11,2.1691387961952215,Moderately Polluted
AJA12,2.664744507947829,Moderately Polluted
AJA13,1.9555158744472148,Slightly Polluted
AJA14,2.6857314188884662,Moderately Polluted
AJA15,2.485252398912174,Moderately Polluted
AJA16,2.4988185675243004,Moderately Polluted
AJA17,2.641352034869312,Moderately Polluted
AJA18,1.8311506403682882,Slightly Polluted
AJA19,2.7662763374057464,Moderately Polluted
AJA20,2.320386930072127,Moderately Polluted
AJA21,7.747918833711274,Extremely Polluted
AJA22,7.234880739980729,Extremely Polluted
AJA23,6.9758394553298535,Extremely Polluted
AJA24,6.6124210707453885,Extremely Polluted
AJA25,6.11866223295226,Extremely Polluted
