Sample,SAR,Class,Interpretation
AJA1,4.568,Excellent,Suitable for irrigation with minimal sodium hazard
AJA2,4.613,Excellent,Suitable for irrigation with minimal sodium hazard
AJA3,4.429,Excellent,Suitable for irrigation with minimal sodium hazard
AJA4,2.183,Excellent,Suitable for irrigation with minimal sodium hazard
AJA5,2.663,Excellent,Suitable for irrigation with minimal sodium hazard
AJA6,2.695,Excellent,Suitable for irrigation with minimal sodium hazard
AJA7,2.086,Excellent,Suitable for irrigation with minimal sodium hazard
AJA8,3.126,Excellent,Suitable for irrigation with minimal sodium hazard
AJA9,2.151,Excellent,Suitable for irrigation with minimal sodium hazard
AJA10,2.709,Excellent,Suitable for irrigation with minimal sodium hazard
AJA11,1.96,Excellent,Suitable for irrigation with minimal sodium hazard
AJA12,3.042,Excellent,Suitable for irrigation with minimal sodium hazard
AJA13,1.828,Excellent,Suitable for irrigation with minimal sodium hazard
AJA14,3.103,Excellent,Suitable for irrigation with minimal sodium hazard
AJA15,2.629,Excellent,Suitable for irrigation with minimal sodium hazard
AJA16,2.863,Excellent,Suitable for irrigation with minimal sodium hazard
AJA17,2.887,Excellent,Suitable for irrigation with minimal sodium hazard
AJA18,1.8,Excellent,Suitable for irrigation with minimal sodium hazard
AJA19,3.007,Excellent,Suitable for irrigation with minimal sodium hazard
AJA20,2.852,Excellent,Suitable for irrigation with minimal sodium hazard
AJA21,4.477,Excellent,Suitable for irrigation with minimal sodium hazard
AJA22,4.274,Excellent,Suitable for irrigation with minimal sodium hazard
AJA23,4.33,Excellent,Suitable for irrigation with minimal sodium hazard
AJA24,4.459,Excellent,Suitable for irrigation with minimal sodium hazard
AJA25,4.37,Excellent,Suitable for irrigation with minimal sodium hazard
