Sample,CD,HEI,HPI,KR,mCd,MH,MI,Na%,NPI,PLI,RSC,SAR,WQI,Irrigation_Score,Drinking_Score,Contamination,Water_Class
AJA1,279.792,58.313,2191.69,0.286,80.01167273,26.56,58.31312381,28.65,18.81,16.00892599,224.16,4.568,53.63,0.12542866168417774,0.0,0.8542074363992171,6
AJA2,185.026,42.1,1579.245,0.314,56.29956364,29.54,42.10048571,29.72,13.425,11.20983081,204.38,4.613,45.91,0.10430239846623945,0.3118930583800139,0.7475375629592478,6
AJA3,97.648,21.82,708.278,0.311,23.35996364,29.51,21.82049048,29.44,7.551,7.449814964,202.4,4.429,43.19,0.13669786731490327,0.6252412973032253,0.4872445160085361,6
AJA4,32.431,8.776,225.47,0.192,3.2942,25.39,8.776071429,22.22,4.928,2.523661177,125.38,2.183,25.13,0.8767556692469332,0.9656221733053527,0.07574657206399768,5
AJA5,41.507,10.848,253.222,0.211,3.962854545,24.8,10.84822381,25.74,5.581,3.595668848,140.24,2.663,33.02,0.6852785584794442,0.8758638501151487,0.07804782704481084,4
AJA6,39.274,11.027,261.455,0.213,3.783163636,24.43,11.02654762,25.83,5.793,3.446061133,144.15,2.695,33.07,0.6675290812925595,0.8757380101149965,0.05614818569685448,1
AJA7,29.211,8.24,210.786,0.183,3.081109091,26.27,8.2396,23.14,4.572,2.367527483,125.22,2.086,26.02,0.8772906269279654,0.9655327180345316,0.1110988345296125,5
AJA8,38.497,10.701,253.576,0.251,3.730854545,27.76,10.70071905,28.06,5.579,3.324376124,144.58,3.126,33.16,0.5190888429187506,0.8782634519094163,0.21518980883779748,6
AJA9,29.489,8.612,219.904,0.192,3.090709091,26.97,8.612214286,23.61,4.786,2.378385778,125.05,2.151,25.29,0.8474895327296673,0.9685930896634307,0.14693213371772887,5
AJA10,34.949,10.188,247.089,0.214,3.445436364,27.47,10.18807143,26.02,5.433,3.021858251,147.74,2.709,33.63,0.6512921542575776,0.8809626856910634,0.19141152117455118,1
AJA11,27.211,8.027,205.212,0.171,2.938381818,26.27,8.027209524,23.44,4.429,2.169138796,124.56,1.96,26.72,0.900787737227395,0.9631987673331063,0.104965026235657,5
AJA12,30.757,9.823,240.969,0.233,3.1574,29.34,9.822795238,26.69,5.289,2.664744508,156.68,3.042,35.93,0.5552743703813908,0.8678726869465293,0.2717636272578448,1
AJA13,25.019,6.965,181.624,0.161,2.720345455,25.83,6.964990476,21.87,3.857,1.955515874,125.78,1.828,25.44,0.9614534268870623,0.9843072143652717,0.07462760118768048,5
AJA14,30.553,10.143,244.505,0.223,3.115509091,28.45,10.14310952,25.49,5.363,2.685731419,178.91,3.103,40.2,0.5372838375329931,0.8295489511853866,0.22882897749474643,1
AJA15,28.644,9.121,223.665,0.221,2.995345455,26.25,9.121109524,26.88,4.861,2.485252399,131.11,2.629,29.97,0.66940979276212,0.9264498700819156,0.1132322052000338,5
AJA16,28.566,9.099,221.034,0.244,2.995745455,26.68,9.098509524,28.59,4.791,2.498818568,132.96,2.863,30.04,0.5694249199321719,0.9263599056744247,0.1341081605029767,5
AJA17,30.167,9.683,235.576,0.238,3.120309091,26.34,9.683495238,27.99,5.148,2.641352035,134.43,2.887,31.71,0.5866959558781848,0.9059002643599294,0.12334031256153341,1
AJA18,23.141,6.337,164.497,0.16,2.628927273,26.22,6.33682381,20.54,3.43,1.83115064,124.66,1.8,24.42,0.9997489959839357,1.0,0.08757338551859097,5
AJA19,29.188,10.471,212.828,0.257,2.9416,26.7,10.47055714,29.09,4.6,2.766276337,131.39,3.007,29.83,0.5294888476724683,0.9219639541210012,0.13939666960426658,6
AJA20,27.559,9.234,231.513,0.234,2.9338,28.39,9.234490476,27.72,5.073,2.32038693,129.82,2.852,32.06,0.6136930631704638,0.9081058530489003,0.214932725409697,1
AJA21,102.426,22.967,705.652,0.329,20.27774545,26.12,22.96744762,31.09,9.437,7.747918834,204.5,4.477,41.69,0.061434129693320016,0.6282323017085149,0.33098011202430067,6
AJA22,103.278,21.915,736.374,0.312,23.65414545,26.07,21.91508571,30.43,8.243,7.23488074,194.89,4.274,42.32,0.14438459217112037,0.6232833946759851,0.3241060656392527,6
AJA23,91.672,21.35,642.123,0.312,16.83767273,26.71,21.35034286,30.21,9.553,6.975839455,217.74,4.33,43.27,0.08726655164581706,0.6407975392238574,0.32792091140302543,6
AJA24,85.489,18.637,501.264,0.322,11.26252727,26.19,18.63719048,30.59,9.169,6.612421071,209.25,4.459,43.41,0.07331452535440866,0.6760432268967188,0.2726783997961681,6
AJA25,77.78,18.8,497.347,0.311,9.231454545,25.61,18.8003,30.09,9.939,6.118662233,219.53,4.37,44.1,0.0835415480256867,0.677345458835804,0.22760382016481343,6
